,time,delay,route_replannings
8829,28346.999999977998,277.4273238564887,1
8830,28348.199999977995,416.242084304012,2
8831,28348.199999977995,284.25496660335597,2
8832,28349.39999997799,45.99467617038401,0
8833,28351.199999977987,372.419898425019,2
8834,28351.799999977986,363.2732792695102,4
8835,28351.799999977986,40.39878398246296,0
8836,28353.59999997798,77.95127259188769,0
8837,28355.399999977977,270.2066414255852,0
8838,28355.999999977976,105.94750135183256,1
8839,28356.599999977974,151.5279994272609,2
8840,28358.99999997797,264.84702083508125,2
8841,28358.99999997797,148.58157466427986,3
8842,28359.599999977967,315.78748190598105,1
8843,28360.199999977965,268.270028778747,1
8844,28360.199999977965,323.24056192559544,4
8845,28361.399999977963,302.1543679030663,1
8846,28361.399999977963,224.90287291015926,4
8847,28361.399999977963,113.19147346385832,1
8848,28361.399999977963,60.07164819789524,0
8849,28361.99999997796,600.3611409100657,4
8850,28362.59999997796,530.7947065917961,5
8851,28366.79999997795,412.72256148973867,4
8852,28368.599999977945,193.73672261698817,3
8853,28369.799999977942,351.532987662579,1
8854,28370.99999997794,188.77985037100797,1
8855,28371.599999977938,52.948433650382086,0
8856,28372.199999977936,290.64058689496903,0
8857,28373.399999977933,236.19720884700655,2
8858,28373.999999977932,230.96785292701657,2
8859,28375.799999977928,236.5010923023567,0
8860,28377.599999977923,483.3700628938209,5
8861,28377.599999977923,243.20541392863316,2
8862,28379.999999977917,224.12672142781707,0
8863,28379.999999977917,295.6263385008562,3
8864,28379.999999977917,209.50645289321517,1
8865,28380.599999977916,160.22627279361961,2
8866,28383.59999997791,345.043660717321,4
8867,28383.59999997791,214.76962317407998,2
8868,28385.399999977904,191.33294406301144,2
8869,28385.999999977903,510.92860511701656,5
8870,28385.999999977903,281.5496807280705,1
8871,28386.5999999779,327.25622519551337,1
8872,28387.1999999779,485.17943943782535,9
8873,28388.999999977896,228.49811715942593,2
8874,28390.199999977893,266.41459759243446,1
8875,28390.79999997789,274.42808026782257,2
8876,28393.199999977885,258.6601558870306,0
8877,28394.99999997788,154.95073516957754,1
8878,28395.59999997788,237.85187299736197,1
8879,28395.59999997788,199.8399479839361,2
8880,28396.199999977878,146.3333316059584,1
8881,28397.999999977874,375.2869635245139,2
8882,28399.79999997787,194.8142469686832,2
8883,28400.399999977868,86.92309941454013,1
8884,28402.799999977862,41.89211688103245,0
8885,28403.99999997786,50.270635375212805,0
8886,28404.599999977858,184.18276560263683,4
8887,28406.399999977853,129.08929122872064,1
8888,28408.19999997785,272.80550022546345,4
8889,28413.599999977836,446.8977662143985,5
8890,28414.799999977833,223.76204576548037,4
8891,28414.799999977833,199.51867928554287,0
8892,28415.39999997783,413.919069804879,4
8893,28415.39999997783,169.58719685435716,1
8894,28415.99999997783,99.79000949106711,2
8895,28415.99999997783,37.375598381634944,0
8896,28417.199999977827,26.684397519072164,0
8897,28417.799999977826,199.76537061277202,5
8898,28417.799999977826,83.34208745552934,1
8899,28420.19999997782,264.896230185249,1
8900,28421.999999977816,347.02766498712583,2
8901,28422.599999977814,327.95378698817524,2
8902,28423.199999977813,89.99811357450079,0
8903,28423.79999997781,462.62781772499784,4
8904,28424.39999997781,11.080492933269255,0
8905,28425.599999977807,199.65049499367564,4
8906,28427.9999999778,540.5372012914629,5
8907,28427.9999999778,179.94217582318333,0
8908,28429.799999977797,350.1791702641468,1
8909,28431.599999977792,395.03709797498493,1
8910,28432.19999997779,195.3121720886124,1
8911,28432.79999997779,167.61634205486186,0
8912,28433.399999977788,216.44998152015444,1
8913,28433.999999977787,89.46516698776995,1
8914,28434.599999977785,221.3457038875381,2
8915,28434.599999977785,28.56812810767878,0
8916,28435.199999977784,82.50866600026478,1
8917,28436.39999997778,196.115371649239,1
8918,28439.399999977773,272.7869928190997,4
8919,28440.59999997777,135.0805545132385,1
8920,28441.19999997777,236.07857652063677,3
8921,28441.799999977768,353.55347599409674,2
8922,28441.799999977768,259.3381327724122,1
8923,28442.999999977765,83.10375434765238,0
8924,28444.19999997776,206.73098659962076,2
8925,28444.79999997776,384.7926414213945,3
8926,28444.79999997776,271.82152342210685,3
8927,28445.39999997776,288.69812656718017,0
8928,28447.799999977753,106.68517948760206,1
8929,28449.59999997775,179.8369989507754,1
8930,28450.199999977747,287.08973021958366,1
8931,28450.799999977746,418.4270039265823,1
8932,28450.799999977746,309.0806525790139,3
8933,28451.399999977744,413.03978015803443,4
8934,28454.399999977737,110.75541713427398,1
8935,28455.599999977734,288.2800686441491,0
8936,28457.39999997773,424.992380155949,1
8937,28457.39999997773,295.2952416819495,1
8938,28461.59999997772,452.7625002831657,6
8939,28462.199999977718,43.555176568453604,1
8940,28462.799999977717,260.9046899647843,1
8941,28462.799999977717,277.4026891439022,0
8942,28462.799999977717,210.76018207933953,1
8943,28462.799999977717,106.1498190015956,1
8944,28463.999999977714,289.62398594620913,1
8945,28464.599999977712,248.22703896010745,3
8946,28464.599999977712,167.45507633659827,2
8947,28465.19999997771,76.24356675097403,1
8948,28465.79999997771,29.424313745468737,0
8949,28466.399999977708,123.52216816989286,4
8950,28466.999999977706,14.651525159729857,0
8951,28468.199999977704,82.15586109357926,0
8952,28472.399999977693,413.1162359247022,3
8953,28472.399999977693,127.05606615028995,0
8954,28472.999999977692,94.03717933896164,0
8955,28475.399999977686,280.55424140948975,1
8956,28476.599999977683,121.77315695072082,0
8957,28476.599999977683,170.8855760682826,0
8958,28478.39999997768,109.5790684021145,1
8959,28478.999999977677,199.2556268005414,4
8960,28478.999999977677,132.06862595357177,2
8961,28480.799999977673,154.2095580877091,1
8962,28481.39999997767,149.2947231360433,1
8963,28482.59999997767,309.7046773801062,1
8964,28485.59999997766,505.0180935420991,3
8965,28485.59999997766,451.91052446756476,2
8966,28486.19999997766,423.3361311936594,5
8967,28486.19999997766,189.64676291529526,2
8968,28486.79999997766,252.1823394654083,3
8969,28486.79999997766,231.35444768862172,2
8970,28486.79999997766,111.24688316330509,0
8971,28489.199999977653,348.3543099553231,1
8972,28490.99999997765,232.62538242478814,2
8973,28490.99999997765,169.21785001162357,0
8974,28491.599999977647,104.16293682107941,0
8975,28492.799999977644,573.0698993556144,5
8976,28492.799999977644,284.6679900600434,1
8977,28492.799999977644,216.82385299966097,1
8978,28493.399999977642,331.3988422679539,1
8979,28493.99999997764,437.41603671578616,1
8980,28495.199999977638,213.50768207989853,2
8981,28495.799999977637,272.58563880398077,1
8982,28496.399999977635,184.07770610806222,0
8983,28498.79999997763,184.48324050939453,2
8984,28499.399999977628,50.815067096421615,0
8985,28499.399999977628,2.5816006367693385,0
8986,28499.999999977626,160.3691439547987,2
8987,28499.999999977626,283.9602538410278,1
8988,28500.599999977625,147.9819828945612,0
8989,28500.599999977625,101.50103339311096,0
8990,28501.199999977624,83.35142243134044,0
8991,28502.39999997762,265.68799757880043,0
8992,28503.599999977618,84.10484937874094,0
8993,28506.59999997761,219.59221600862685,0
8994,28507.19999997761,314.74871283097184,2
8995,28508.399999977606,165.0610250526425,1
8996,28509.599999977603,93.76166610648195,1
8997,28510.1999999776,171.73083772615274,1
8998,28510.1999999776,204.8944583534739,1
8999,28510.7999999776,566.365692150766,3
9000,28511.3999999776,292.0462640882551,1
9001,28511.3999999776,284.35190867241806,1
9002,28513.199999977594,70.14843540548001,0
9003,28513.799999977593,387.00055125835706,2
9004,28513.799999977593,294.58978807138016,2
9005,28514.39999997759,412.6699505741856,1
9006,28514.99999997759,378.06258121629264,1
9007,28514.99999997759,431.76359947446053,2
9008,28514.99999997759,202.34664503653946,4
9009,28516.799999977586,436.71035337489855,3
9010,28516.799999977586,217.17641996837426,2
9011,28518.59999997758,387.1351085572761,3
9012,28520.999999977575,263.65034699387945,2
9013,28522.199999977573,62.471802678462836,0
9014,28522.79999997757,534.8865918943518,3
9015,28524.599999977567,349.69431826835154,3
9016,28525.799999977564,265.810039187323,5
9017,28526.399999977562,373.18601236058595,1
9018,28526.99999997756,19.880832663940193,0
9019,28528.799999977557,97.32663664857029,0
9020,28531.79999997755,163.67270634802642,3
9021,28532.999999977546,294.1192150263517,1
9022,28534.799999977542,228.11703957322226,2
9023,28535.39999997754,162.51795892083157,1
9024,28536.599999977538,168.51425033595768,1
9025,28537.199999977536,336.2925726914754,2
9026,28538.399999977533,261.10323386185706,2
9027,28539.59999997753,138.0102083644968,3
9028,28540.19999997753,441.8660409091776,3
9029,28541.399999977526,81.92767626709069,1
9030,28542.599999977523,173.63507941455424,0
9031,28543.19999997752,265.16983732005855,4
9032,28544.999999977517,287.96053879531706,1
9033,28544.999999977517,76.98085144368383,2
9034,28544.999999977517,169.34708846885562,1
9035,28545.599999977516,361.18717289627136,4
9036,28545.599999977516,189.0817800859823,1
9037,28551.5999999775,253.86668491192432,4
9038,28551.5999999775,154.034909522929,0
9039,28552.1999999775,132.53066986699923,1
9040,28552.7999999775,248.47729220439646,0
9041,28553.399999977497,329.190556723835,4
9042,28555.79999997749,270.67716804626195,1
9043,28556.39999997749,185.65312617869336,1
9044,28556.39999997749,212.63828712250495,2
9045,28556.99999997749,379.59529244913364,4
9046,28559.399999977482,351.5173885493588,4
9047,28560.59999997748,285.0317515514465,3
9048,28560.59999997748,218.0423577207124,3
9049,28561.799999977477,192.20782036102628,0
9050,28562.399999977475,192.216014045766,0
9051,28562.999999977474,168.93992694915892,2
